year, rainfall [mm/yr]
1950, 1.4e+3
1951, 1.4e+3
1952, 1.55e+3
1953, 1.55e+3
1954, 1.3e+3
1955, 1.2e+3
1956, 2e+3
1957, 1.2e+3
1958, 1.6e+3
1959, 1.4e+3
1960, 1.4e+3
1961, 1.3e+3
1962, 2.6e+3
1963, 1.3e+3
1964, 1.5e+3 
1965, 1.5e+3
1966, 1.8e+3
1967, 1.65e+3
1968, 1.4e+3
1969, 1.35e+3
1970, 1.65e+3
1971, 1.9e+3
1972, 1.4e+3
1973, 1.3e+3
1974, 1.7e+3
1975, 1.5e+3 
1976, 1.5e+3 
1977, 1.5e+3 
1978, 1.05e+3 
1979, 1.6e+3
1980, 1.3e+3
1981, 1.5e+3
1982, 1e+3
1983, 1.45e+3
1984, 1.1e+3
1985, 1.4e+3
1986, 1.4e+3
1987, 1.4e+3
1988, 1.4e+3
1989, 1.75e+3 
1990, 1.5e+3 
1991, 1.25e+3
1992, 1.45e+3
1993, 1.05e+3
1994, 1.4e+3
1995, 1.8e+3
1996, 1.55e+3
1997, 1.35e+3
1998, 1.5e+3
1999, 1.3e+3 
2000, 1.3e+3 
2001, 1.45e+3
2002, 1.1e+3
2003, 1.3e+3
2004, 1.45e+3
2005, 1.4e+3 
2006, 1.45e+3 
2007, 1.25e+3 
2008, 1.5e+3 
2009, 1.3e+3
2010, 1.5e+3 
2011, 2.1e+3
2012, 1.3e+3
2013, 1.1e+3
